what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findIncremental",1309289584329
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1309289595139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289598504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289615595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289618834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289622241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289701024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289758067
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309289763719
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309289795707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289804275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289814288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1309289816001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309289826189
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1309289831346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289831423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289833149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289842539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289857605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309289874142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309290008625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309290011524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309290012907
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309290013220
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1309290014094
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1309290014094
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1309290014094
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1309290014094
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1309290014094
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1309290014098
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1309290014100
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1309290014100
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1309290014100
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1309290014114
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1309290014115
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1309290014115
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1309290014115
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1309290014115
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1309290014115
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1309290014126
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1309290014129
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1309290014129
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1309290014129
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1309290014131
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1309290014131
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1309290014131
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1309290014131
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1309290014133
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.help.ui",1309290014134
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1309290014134
