what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309292358359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309292391277
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309292392980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1309292394893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309292408630
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1309292411961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309292416095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309515046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309515717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309958350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309960853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309974858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309309975881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312459752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312464278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312478491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312484318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312485521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309312486790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309313854285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309313857221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309313942817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309313946352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309314632835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309314633848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309314687457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309314693515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309347879074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309347882178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309347891306
